reference_number,minister,purpose_en,purpose_fr,start_date,end_date,locations_en,locations_fr,hours,passengers,additional_information_en,additional_information_fr
C-2022-P10-00001,MND,National Defence Visit Europe and Ukraine,Visite de la Défense Nationale en Europe et en Ukraine,2022-01-29,2022-02-04,"Toronto, Canada; Prestwick, Scotland; Kiev, Ukraine; Brussels, Belgium; Riga, Latvia; Keflavik, Iceland; Ottawa, Canada","Toronto, Canada; Prestwick, Écosse; Kiev, Ukraine; Bruxelles, Belgique; Riga, Lettonie; Keflavik, Islande; Ottawa, Canada",29.3,"MCpl Christopher Auger, MCpl Julien Ouellette-Capp, Dan Nault, Vince Kirstein, Suneeta Millington, Manel Menouar, Michael Power, Bill Matthews, Hon. Anita Anand, MND",,
C-2022-P11-00001,MND,National Defence Visit to Europe,Visite de la Défense Nationale en Europe,2022-02-14,2022-02-20,"Ottawa, Canada; Brussels , Belgium; Paris, France; Munich, Germany; Edinburgh, England; Gander, Canada; Toronto, Canada","Ottawa, Canada; Bruxelles, Belgique; Paris, France; Munich, Allemagne; Edinburgh, Angleterre; Gander, Canada; Toronto, Canada",23.3,"Patrick Burchat, Peter Hammerschmidt, Patrice Desrochers, Ethan Stein, Sabrina Kim, Michael Power, Audrey Rivera, Hon. Anita Anand, MND",,
C-2022-P12-00001,GG,Official Government Travel,Voyage officiel du gouvernement,2022-03-14,2022-03-15,"London, United Kingdom; Gander, Canada; Ottawa, Canada","Londres, Angleterre; Gander, Canada; Ottawa, Canada",15.2,"Her Excellency Mary May Simon, His Excellency Whit Fraser, Ian McCowan, Natalie Babin-Dufresne, Katie Brambley, Maj Stephanie LeBlanc, MCpl Anis Assari",,
C-2022-P12-00002,GG,Official Government Travel,Voyage officiel du gouvernement,2022-03-31,2022-04-01,"Ottawa, Canada; Toronto, Canada","Ottawa, Canada; Toronto, Canada",1.6,"Her Excellency Mary May Simon, His Excellency Whit Fraser, Ian McCowan, Heather Munro, Mireille Sylvester, Capt Simon Kassissia, Sgt Mathieu St-Amour",,
C-2022-P12-00003,PM,Official Government Travel,Voyage officiel du gouvernement,2022-03-04,2022-03-04,"Ottawa, Canada; Toronto, Canada","Ottawa, Canada; Toronto, Canada",2,"Ben Chin, Cecely Roy, Alex Tetrault, Tahiya Bakht, Vandana Kattar, Akshay Grover, Rt. Hon. Justin Trudeau",,
C-2022-P12-00004,PM,Official Government Tasking,Tâche officielle du gouvernement,2022-03-16,2022-03-16,"Ottawa, Canada; Toronto, Canada","Ottawa, Canada; Toronto, Canada",2.1,"James Armbruster, Vanessa Moussa, Riley Lange, Akshay Grover, Cecely Roy, Ben Chin, Adam Scotti, Philip Proulx, Rt. Hon. Justin Trudeau",,
C-2022-P12-00005,PM,Official Government Tasking,Tâche officielle du gouvernement,2022-03-17,2022-03-17,"Ottawa, Canada; Toronto, Canada","Ottawa, Canada; Toronto, Canada",1.8,"Helena Kojo, Nathalie Gahimbare, Annabelle Archambault, James Armbruster, Akshay Grover, Tahiya Bahkt, Cecely Roy, Vandana Kattar, Adam Scotti, Philip Proulx, Rt. Hon. Justin Trudeau",,
C-2022-P12-00006,PM,Official Government Tasking,Tâche officielle du gouvernement,2022-03-28,2022-03-30,"Ottawa, Canada; Toronto, Canada; Vancouver, Canada; Williams Lake, Canada","Ottawa, Canada; Toronto, Canada; Vancouver, Canada; Williams Lake, Canada",11.5,"Alex Tetrault, Deliah Bernard, Youmy Han, Terry Guillon, Ben Sparkes, James Armbruster, Cecely Roy, Akshay Grover, Ben Chin, Rt. Hon. Justin Trudeau",,
C-2022-P12-00007,MND,NATO Visit,Visite de l'OTAN,2022-03-06,2022-03-09,"Ottawa, Canada; Toronto, Canada; Gander, Canada; Riga, Latvia; Naples, Italy; Shannon, Canada","Ottawa, Canada; Toronto, Canada; Gander, Canada; Riga, Lettonie; Naples, Italie; Shannon, Canada",23.8,"Cpl Stefan Hoerdt, Maj Aarthi Prabhakaran, Col Luc Girouard, Justin Horton, Sabrina Kim, Caitlin Mullan-Boudreau, Manel Menouar, General Wayne Eyre, Dustin West, Hon. Anita Anand, MND",,
C-2021-P8-00001,PM,Memorial Service for the Honourable Premier William G. Davis,Service Funéraires pour l'Honorable Premier William G.,2021-11-04,2021-11-04,"Toronto, Canada","Toronto, Canada",1.9,"Terry Guillon, Akshay Grover, Tahiya Bakht, Ann-Clara Vaillancourt, Alex Tetrault, Cordell Johnson, Rt. Hon. Justin Trudeau",,
C-2021-P8-00002,PM,Travel to Government Announcement,Voyage pour une annonce governementale,2021-11-15,2021-11-15,"Edmonton, Canada","Edmonton, Canada",8.4,"Rt. Hon. Justin Trudeau, Ayesha Chugthai, Annabelle Archambault, Ann-Clara Vaillancourt, Riley Lange, Cordell Johnson, Akshay Grover, John Brodhead, Hon. Chrystia Freeland",,
C-2021-P8-00003,PM,Official Government travel (Floods),Voyage officiel (innondations),2021-11-25,2021-11-27,"Montreal, Canada; Abbotsford, Canada; Victoria, Canada","Montreal, Canada; Abbotsford, Canada; Victoria, Canada",10.9,"Raddey Barrack, Riley Lange, Annabelle Archambault, Youmy Han, Hon. Carla Qualtrough, Hon. Bill Blair, Ben Chin, Ann-Clara Vaillancourt, Adam Scotti, Dunerci Caceres, Karl Bouchereau, Rt. Hon. Justin Trudeau",,
C-2021-P7-00001,PM,Official Government travel ,Voyage officiel,2021-10-17,2021-10-18,"Kamloops, Canada","Kamloops, Canada",9.2,"Rt. Hon. Justin Trudeau, Hon. Marc Miller, Akshay Grover, Katherine Koostachin, Andrée-lyne Hallé, Ann-clara Vaillancourt, Adam Scotti, Cordell Johnson, Douglas Bowers",,
